timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765809553,,0.9000000357627869,4.701000213623047,
1770765809613,,,4.648050308227539,7.4320502281188965
1770765809614,4.50300942563183,1.4700000286102295,4.335000038146973,
1770765809619,,5.056950092315674,1.5480000972747803,9.409049987792969
1770765809659,1.1186424331525744,4.066050052642822,2.7660000324249268,8.289000511169434
1770765809688,,1.0369499921798706,3.7890002727508545,8.212050437927246
1770765809700,,,,6.6060004234313965
1770765809701,,1.4440500736236572,2.8909502029418945,
1770765809735,,,,6.0360002517700195
1770765809736,,,,8.00100040435791
1770765809737,1.7356022796957005,1.4940000772476196,3.352950096130371,
1770765809755,,0.2850000262260437,3.5350501537323,6.505050182342529
1770765809797,8.048737838079509,1.968000054359436,6.772050380706787,2.371950149536133
1770765809821,,4.819950103759766,2.644050121307373,4.750050067901611
1770765809867,,,,16.822050094604492
1770765809868,,6.481050491333008,3.003000259399414,17.119050979614258
1770765809869,8.939833543153746,,,
1770765809886,,,,10.642050743103027
1770765809887,,0.6439500451087952,-1.0920000076293945,
1770765809918,7.9238004432441045,0.8190000653266907,-2.206050157546997,5.760000228881836
1770765809952,,,,-3.604950189590454
1770765809953,,9.946050643920898,-1.2499500513076782,
1770765809973,,,,-8.857950210571289
1770765809974,,15.430951118469238,-0.5220000147819519,
1770765809979,,19.437000274658203,-0.1969500035047531,-6.997950553894043
1770765809999,,,-0.05100000277161598,-3.385050058364868
1770765810000,11.293476105215015,20.281951904296875,,
1770765810020,,,1.3729500770568848,-3.0400500297546387
1770765810021,,11.623950958251953,,
1770765810059,,,,-2.050950050354004
1770765810060,5.017874620229734,7.456050395965576,3.832050085067749,
1770765810079,,11.884950637817383,3.741000175476074,-5.278950214385986
1770765810120,4.2066578818913145,45.142051696777344,-4.999950408935547,-6.895050525665283
1770765810138,,,,-6.202950477600098
1770765810139,,9.084000587463379,-1.8799500465393066,
1770765810172,,2.3800501823425293,0.18000000715255737,3.6750001907348633
1770765810181,,-6.89400053024292,4.726950168609619,-6.454050540924072
1770765810182,13.918026307592184,,,
1770765810224,,1.377000093460083,-7.1260504722595215,-1.6540501117706299
1770765810251,,8.731950759887695,2.4840002059936523,24.29505157470703
1770765810264,7.401306305104029,28.678951263427734,-20.143951416015625,-36.98400115966797
1770765810292,,12.415050506591797,-0.453000009059906,-2.3389501571655273
1770765810304,,13.96095085144043,-11.392951011657715,-2.287950038909912
1770765810323,,,-1.4850000143051147,-1.7899501323699951
